Ex. 1 Part (A) (B),,,,,,,,,,,,,,,,,,,,,
Value-weighted,,,,,,,,,,,,,,,,,,,,,
Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10,Mkt-RF,RF
192903,-99.99,-3.54,-4.5,0.34,-3.57,-5.02,-4.31,-3.33,0.66,-2,-4.08,-3.51,-5.89,-3.62,-4.74,-4.31,-2.71,-0.46,0.95,-0.89,0.34
192904,-99.99,-0.53,2.46,1.71,0.54,1.5,1.41,1.57,1.83,3.74,-0.53,-1.5,3.26,1.86,1.13,3.34,0.46,1.62,1.89,1.43,0.36
192905,-99.99,-14.49,-8.66,-4.88,-13.59,-11.75,-9,-6.51,-4.83,-15.82,-12.81,-15.33,-9.74,-8.84,-9.11,-8.04,-5.5,-4.01,-5.04,-6.39,0.44
192906,-99.99,6.69,10.12,10.44,6.73,6.84,9,10.83,10.47,8.07,6.28,6.66,6.94,9.12,8.93,12.03,10.06,10.87,10.37,9.7,0.52
192907,-99.99,-0.1,2.37,5.15,-1.46,1.61,2.11,2.53,5.43,-1.1,-1.57,0.89,2.06,2.19,2.06,2.74,2.41,4.88,5.57,4.46,0.33
192908,-99.99,-0.55,2.61,9.44,-2.93,1.2,1.74,4.09,9.96,-3.12,-2.87,1.16,1.22,0.22,2.79,3.99,4.14,8.03,10.44,8.18,0.4
192909,-99.99,-5.52,-3.73,-5.08,-6.54,-4.53,-2.98,-3.25,-5.31,-5.01,-7.05,-4.82,-4.35,-2.82,-3.09,-4.38,-2.63,-3.39,-5.76,-5.47,0.35
192910,-99.99,-21.84,-20.73,-19.09,-20.57,-19.78,-19.91,-21.43,-18.91,-22.37,-19.95,-22.7,-18.02,-21.7,-18.69,-22.4,-20.9,-19.01,-18.89,-20.12,0.46
192911,-99.99,-13.59,-12.41,-12.06,-14.06,-12.9,-12.18,-11.65,-12.15,-12.81,-14.48,-13.27,-12.69,-12.58,-11.93,-12.59,-11.15,-11.07,-12.41,-12.74,0.37
192912,-99.99,-7.12,-0.76,2.23,-7.63,-4.4,-0.58,-0.81,2.55,-10.82,-6.55,-6.77,-3.06,-0.44,-0.66,-0.27,-1.09,3.61,2.29,1.33,0.37
193001,-99.99,13.06,8.15,4.88,13.02,10.86,7.87,6.16,4.86,15.45,12.23,13.09,9.67,6.55,8.72,8.03,5.19,4.34,4.99,5.61,0.14
193002,-99.99,2.68,1.99,2.91,3,2.93,2.8,2.07,2.92,4.52,2.49,2.46,3.18,2.04,3.29,0.72,2.79,3,2.9,2.5,0.3
193003,-99.99,12.09,8.74,7.42,12.31,9,9.04,8.21,7.37,11.75,12.51,11.93,7.41,12.63,6.75,8.81,7.9,5.66,7.8,7.1,0.35
193004,-99.99,-3.88,-4.5,-1.86,-7.16,-4.74,-4.01,-4.56,-1.61,-9.11,-6.49,-1.63,-6.5,-2.15,-5.26,-4.45,-4.62,-4.73,-0.84,-2.06,0.21
193005,-99.99,-5.45,-3.11,-0.93,-5.58,-3.64,-2.25,-2.9,-0.82,-8.01,-4.78,-5.37,-2.61,-2.04,-2.4,-4.32,-2.19,-1.08,-0.76,-1.66,0.26
193006,-99.99,-19.33,-16.63,-15.27,-19.23,-18.66,-16.18,-17.15,-15.09,-21.27,-18.58,-19.39,-18.23,-16.65,-15.85,-16.67,-17.39,-15.89,-14.9,-16.27,0.27
193007,-99.99,2.68,4.43,4.32,2.76,3.94,4.78,3.85,4.37,3.83,2.41,2.63,4.72,4.84,4.74,3.99,3.78,4.93,4.24,4.12,0.2
193008,-99.99,-3.31,-1.51,0.61,-4.15,-1.83,-1.7,-0.31,0.64,-5.2,-3.8,-2.73,-1.31,-3.27,-0.71,-1.36,0.25,-0.69,0.93,0.3,0.09
193009,-99.99,-19.43,-15.3,-12.07,-21.43,-15.86,-14.51,-13.84,-12.03,-17.07,-22.85,-18.09,-14.58,-14.33,-14.62,-16.35,-12.51,-13.82,-11.65,-12.75,0.22
193010,-99.99,-10.79,-9.67,-8.77,-10.96,-10.85,-10.17,-9.67,-8.66,-9.01,-11.64,-10.68,-10.95,-9.28,-10.71,-8.74,-10.14,-11.39,-8.09,-8.78,0.09
193011,-99.99,-3.33,-2.02,-2.79,-4,-2.64,-1.26,-2.12,-2.87,-5.41,-3.5,-2.89,-2.5,-1.22,-1.29,-2.72,-1.82,-2.9,-2.86,-3.04,0.13
193012,-99.99,-17.01,-10.82,-7.05,-18.3,-15.31,-10.16,-9.62,-6.87,-19.88,-17.74,-16.18,-14.82,-10.67,-9.85,-10.42,-9.22,-10.54,-6.13,-7.83,0.14
193101,-99.99,17.17,9.02,5.97,17.68,14.19,10.22,6.99,5.87,18.81,17.29,16.86,12.73,9.66,10.57,6.7,7.13,9.68,5.14,6.24,0.15
193102,-99.99,18.53,13.13,10.63,25.25,12.39,13.64,10.53,10.74,25.38,25.2,14.31,11.31,13.32,13.84,13.06,9.27,12.17,10.45,10.88,0.04
193103,-99.99,-5.45,-6.26,-6.21,-7.35,-3.82,-5.4,-7.46,-6.13,-2.12,-9.14,-4.14,-3.63,-5.4,-5.39,-7.99,-7.19,-8.49,-5.65,-6.43,0.13
193104,-99.99,-16.89,-14.3,-9.31,-17.43,-16.54,-14.26,-12.45,-9.12,-17.15,-17.53,-16.53,-16.55,-13.91,-14.47,-13.7,-11.81,-12.44,-8.47,-9.98,0.08
193105,-99.99,-11.93,-13.17,-13.19,-14.28,-9.49,-12.94,-15.58,-12.98,-11.82,-15.2,-10.37,-8.99,-11.59,-13.76,-14.63,-16.07,-15.99,-12.41,-13.24,0.09
193106,-99.99,16.19,13.61,14.09,16.25,11.34,13.07,16.93,13.85,21.57,14.2,16.14,8.61,12.73,13.29,15.75,17.54,16.16,13.43,13.9,0.08
193107,-99.99,-6.07,-7.4,-6.5,-6.8,-6.33,-8.44,-6.75,-6.47,-2.7,-8.05,-5.56,-6.78,-8.61,-8.33,-6.49,-6.9,-7.54,-6.27,-6.62,0.06
193108,-99.99,-4.34,-1.3,0.35,-5.55,-1.53,-2.02,0.89,0.25,-8.14,-4.72,-3.5,-0.35,-3.06,-1.34,-0.81,1.81,-0.54,0.4,0.41,0.03
193109,-99.99,-31.67,-29.73,-28.84,-32.48,-31.36,-31.67,-29.77,-28.69,-29.9,-33.28,-31.12,-31.5,-30.45,-32.45,-27.34,-31.06,-32.36,-28,-29.13,0.03
193110,-99.99,5.61,8.79,7.9,5.24,8.79,9.6,9.02,7.77,0.88,6.66,5.86,10.5,7.74,10.78,7.63,9.81,8.43,7.66,8.04,0.1
193111,-99.99,-8.91,-8.31,-9.04,-11.37,-8.78,-7.68,-8.39,-9.1,-10.66,-11.58,-7.28,-9.62,-5.45,-9.06,-8.56,-8.29,-10.85,-8.79,-9.08,0.17
193112,-99.99,-20.88,-13.55,-13.27,-23.59,-15.71,-17.11,-12.84,-13.19,-23.77,-23.54,-19.16,-13.73,-19.16,-15.79,-10.14,-14.33,-15.6,-12.78,-13.53,0.12
193201,-99.99,6.79,1.03,-1.63,9.83,5.84,2.97,-1.52,-1.65,14.08,8.53,4.97,6.31,4.75,1.87,-1.93,-1.29,2.92,-2.41,-1.58,0.23
193202,-99.99,3.53,1.18,6.04,2.74,-1.23,1.55,2.9,6.24,-0.97,3.92,4.03,-4.06,3.18,0.51,2.2,3.3,3.52,6.71,5.46,0.23
193203,-99.99,-12.54,-9.62,-11.04,-12.45,-9.74,-12.02,-9.36,-11.1,-10.68,-12.99,-12.59,-8.08,-13.31,-11.23,-7.86,-10.22,-10.56,-11.19,-11.21,0.16
193204,-99.99,-19.05,-14.03,-18.05,-19.77,-15.45,-16.13,-14.26,-18.23,-18.23,-20.25,-18.61,-13.7,-19.18,-14.34,-12.34,-15.41,-17.45,-18.36,-17.96,0.11
193205,-99.99,-15.86,-21.14,-20.43,-10.2,-18.5,-24.32,-18.91,-20.54,-8.66,-10.72,-19.17,-18.15,-24.93,-23.99,-19.21,-18.73,-22.91,-20.14,-20.51,0.06
193206,-99.99,-2.2,2.52,-1,-3.54,2.51,5.43,1.71,-1.27,0.44,-4.94,-1.33,4.57,6.88,4.64,-0.27,2.92,0.83,-1.62,-0.7,0.02
193207,-99.99,50.66,38.37,33.32,44.67,49.73,42.88,39.48,32.71,47.58,43.66,54.85,46.82,38.86,45.58,32.27,43.36,39.55,31.57,33.84,0.03
193208,-99.99,82.89,56.35,35.33,93.21,70.02,58.36,52.74,34.16,122.9,82.87,76.17,66.32,56.59,59.5,51.81,53.2,43.92,32.44,37.06,0.03
193209,-99.99,-12.46,-5.84,-2.55,-13.32,-9.1,-7.34,-5.75,-2.24,-15.46,-12.41,-11.85,-7.37,-5.32,-8.62,-3.86,-6.68,-2.08,-2.27,-2.94,0.03
193210,-99.99,-20.51,-19.84,-12.54,-20.34,-21.27,-20.86,-17.88,-12.17,-20.84,-20.14,-20.63,-21.65,-20.19,-21.29,-18.33,-17.65,-15.46,-11.54,-13.17,0.02
193211,-99.99,-10.44,-8.61,-5.6,-8.8,-10.77,-8.19,-7.52,-5.51,-12.29,-7.39,-11.61,-10.26,-7.4,-8.71,-8.59,-6.99,-6.6,-5.3,-5.88,0.02
193212,-99.99,-10.34,-2.85,5.06,-13.58,-9.23,-1.54,0.67,5.25,-12.37,-14.05,-8.05,-9.93,-3.78,-0.02,-2.32,2.14,2.63,5.73,4.4,0.01
193301,-99.99,1.48,2.38,1.22,0.18,5.11,4.06,3.67,0.93,0.62,0.01,2.34,6.8,3.92,4.15,-0.33,5.55,2.23,0.7,1.25,0.01
193302,-99.99,-19.62,-17.2,-15.21,-14.19,-21.03,-18.69,-15.24,-15.2,-19.91,-11.89,-23.14,-19.79,-17.86,-19.22,-15.01,-15.34,-17.48,-14.79,-15.24,-0.03
193303,-99.99,13.38,10.33,2.74,12.03,13.26,7.36,11.4,2.2,8.5,13.31,14.37,12.62,7.37,7.36,12.73,10.8,5.12,1.69,3.29,0.04
193304,-99.99,50.67,53.86,37.72,50.32,53.24,55.48,49.36,36.95,50.2,50.37,50.91,54.61,51.91,57.83,52.15,48.1,46.86,35.17,38.85,0.1
193305,-99.99,83.87,46.11,18.81,95.9,70.46,47.54,33.23,17.89,103.88,93.06,75.44,67.63,55.59,42.44,39.53,30.3,22.14,17.06,21.43,0.04
193306,-99.99,27.51,16.8,12.64,30.31,19.47,20.63,14.21,12.45,30.57,30.22,25.31,16.03,23.36,18.74,13.12,14.77,15.22,11.88,13.11,0.02
193307,-99.99,-5.42,-11.41,-9.51,-5.5,-8.98,-14.75,-11.06,-9.25,-3.3,-6.46,-5.36,-11.21,-15.24,-14.42,-8.34,-12.58,-10.39,-9.01,-9.63,0.02
193308,-99.99,5.36,13.85,12,3.92,7.32,14.21,16.19,11.61,1.8,4.88,6.58,7.81,12.71,15.2,14.97,16.91,14.06,11.11,12.05,0.03
193309,-99.99,-17.27,-14.73,-10.14,-17.95,-16.43,-15.25,-12.34,-10.04,-18.41,-17.74,-16.72,-16.24,-14.17,-15.94,-13.94,-11.42,-10.38,-9.96,-10.65,0.02
193310,-99.99,-12.62,-10.01,-8.02,-13.05,-11.88,-12.03,-9.28,-7.86,-9.31,-14.68,-12.28,-11.63,-12.35,-11.83,-7.92,-10.04,-7.48,-7.94,-8.36,0.01
193311,-99.99,3.73,7.15,10.3,6.49,4.08,6.56,8.45,10.42,1.9,8.62,1.51,5.73,5.17,7.47,7.92,8.76,8.06,10.92,9.97,0.02
193312,-99.99,2.59,2.45,1.73,-1.44,3.6,3.98,1.89,1.69,-4.57,-0.08,5.99,2.13,3.12,4.52,1.29,2.23,2.17,1.59,1.83,0.02
193401,-99.99,36.51,25.22,11.3,43.14,33.82,27.64,17.64,10.95,44.14,42.72,31.31,35.43,25.68,28.86,21.09,15.67,14.42,10.24,12.6,0.05
193402,-99.99,5.44,-0.2,-2.75,8.14,1.94,1.91,-1.69,-2.88,7.83,8.28,3.14,1.19,-0.17,3.18,-2.37,-1.29,-2.99,-2.85,-2.5,0.02
193403,-99.99,1.65,0.71,-0.05,0.93,1.42,0.57,1.04,-0.15,1.52,0.68,2.3,0.87,1.66,-0.07,0.79,1.19,0.9,-0.38,0.09,0.02
193404,-99.99,1.48,-2.43,-1.82,2.83,-0.72,-2.17,-1.96,-1.86,1.95,3.2,0.29,-1.38,-2,-2.27,-2.92,-1.4,-0.87,-2.07,-1.79,0.01
193405,-99.99,-12.07,-10.05,-6.85,-14.23,-10.09,-9.63,-8.59,-6.79,-14.56,-14.09,-10.12,-10.08,-9.39,-9.78,-10.43,-7.54,-8.18,-6.48,-7.25,0.01
